Type,Code,Value,Comment
Reload,504,Gateway timeout / Gateway Timeout,HTTP standardized error code
Reload,505,The HTTP protocol version is not supported. / HTTP Version Not Supported,HTTP standardized error code
Reload,509,Bandwidth limit exceeded / Bandwidth Limit Exceeded,HTTP standardized error code
Reload,700,Host could not be resolved. / Host could not be resolved,Error occurs when sending CreateConnection to an invalid url
Reload,1000,An app with this name already exists. Please choose another name. / App already exists,Happens when an application already exist when CreateApp is called
Reload,1001,"An app name must not include  \\/:<>|\""?* / Invalid app name","Happens on Import App or DoSave, invalid characters in name \\/:<>|\""?*"
Reload,1002,App is already open. / App already open,"Happens ImportApp, OpenDoc, CreateDoc when the application is already open"
Reload,1003,The app you specified could not be found. / App not found,"Happens on LoadApp, the specified app could not be found"
Reload,1004,The app could not be imported or created. / App import failed,"Happens on ImportApp, fail to create or import an app"
Reload,1005,The app could not be saved. Check if it is read only. / App save failed,"Happens on DoSave, due to read only flag set or some other problem with file system/database"
Reload,1006,The app was not created. / App creation failed,"Happens on CreateApp, CreateDoc - correct serializer not found or some other problem saving the app after creation"
Reload,1007,Failed to get app because there is no app loaded. / App invalid,Happens on GetActiveDoc when there is no active app
Reload,1008,Could not connect to the opened app. / Failed to connect to app,Happens when an user could not connect to an opened app
Reload,1009,"You are trying to open an app in multiple tabs, but you cannot open an app both with and without data. / App already open in different mode",Happens when trying to open an already open app without data when the app is already open with data and vice versa
Reload,1010,The migration service could not be started. / App migration service could not be contacted,Showed in Qlik Sense when the migration service could not be started
Reload,1011,The app migration could not be started. / Could not start the app migration,Shown when an app migration could not be started
Reload,1012,App migration failed. Check the logs for more details. / Migration service could not migrate app,Showed in Qlik Sense when an app migration failed
Reload,1013,App reload failed. Synchronization of the app is in progress. / Unknown error,Happens when reloading of an app on the RIM node is triggered but the script is not yet synced
Reload,1014,App export failed. / App export failed,Shown when attempting to export and reduce an app. Likely cause: not possible to reduce the app's current state.
Reload,2000,Connection with the given name already exists. / Connection already exists,Happens when CreateConnection or ModifyConnection is called and given connection name is not unique
Reload,2001,Connection not found. / Connection not found,"Happens when GetConnection, GetConnectionInfo, ModifyConnection is called and given connection name could not be found"
Reload,2002,Failed to load connection. / Failed to load connection,Happens upon load of an application in QvNext and we could not load all referenced connections in the app
Reload,2003,Failed to import connection. / Failed to import connection,Happens upon ImportApp and all referenced connection belonging to the app could not be imported or created as new
Reload,2004,"Invalid connection name. Please enter a new connection name of 1-256 characters, without using \ / : * ? "" < > | / Connection name is invalid. Should be 1-256 characters and not contain <>:""/|?*",Happens when trying to create a connection with an invalid name
Reload,2300,Connector does not support file streaming. / Connector does not support file streaming,Shown when connector does not support file streaming.
Reload,2301,Data file size exceeded file streaming buffer size. Adjust the StreamingBufferSizeMB setting. / Data file size exceeded file streaming buffer size,Error message that appears if you attempt to stream a file larger than the StreamingBufferSize. Do not translate StreamingBufferSizeMB
Reload,3000,File access is denied. / File access denied,"Happens upon OpenDoc, problem to load an app due to no access to the app file for various reasons, for instance no license or server is out of document sessionssessioner"
Reload,3001,File name is invalid. / Invalid file name,Invalid file name upon DoSave app
Reload,3002,The file you are attempting to load is corrupt. Check the file for errors and try again. / File corrupted,Error message that occurs when a user tries to either load a corrupted app or corrupted excel file.
Reload,3003,A file belonging to the loaded or imported app could not be found. / File not found,Happens upon load or import of an app and the belonging file could not be found
Reload,3004,Unsupported file format / Unsupported file format version,Happens upon load or import of an app and the file format of the given app is no longer supported
Reload,3005,The file was opened in an unsupported mode. Apps with the qvw suffix cannot be opened without their data. / File opened in unsupported mode,Shown in Qlik Sense Desktop when a qvw app was opened without data which is unsupported.
Reload,3006,No table found in the HTML file. / Table not found,Shown when importing an HTML-file without a table
Reload,4000,You cannot access the requested resource. / User access denied,No access to a resource for the given user
Reload,4001,The system failed to log you in. / User impersonation failed,"OpenDoc, if Username is all in hexagonal digits, validation is made and this impersonation can fail"
Reload,4003,Operation aborted,
Reload,4004,Application has been deleted from memory on the engine.,
Reload,5000,Server has no more session and usage Client Access Licences. / Server out of session and usage cals,"License check on OpenDoc on classic server, if the server is out of slots and the engine build number is less than 3068. "
Reload,5001,Server has no more session Client Access Licences. / File not found,"License check on OpenDoc  on classic server, if server is out session cals"
Reload,5002,Server has no more usage Client Access Licences. / File not found,"License check on OpenDoc on classic server, if server is out usage cals"
Reload,5003,Server has no more Client Access Licences. / Server out of cals,Not used right now
Reload,5004,Server has no more named Client Access Licences. / Server out of named cals,"License check on OpenDoc on classic server, if server is out named cals"
Reload,5005,Server off duty / Server off duty,"Happens when GetStreamList, GetDocList, GetAdminDocList  is called and engine is off duty"
Reload,5006,Server busy / Server busy,Happens when user tries to connect to an app and server cannot handle more sessions at this point
Reload,5007,The license has expired. Please update to a current version to receive a new license. / License has expired,"A Global check upon every request to engine, if the license has expired this is thrown"
